unit,sex,age,acl00,geo\time	2010 	2000 
PTP_RT,F,TOTAL,AC0,AT	100 	: 
PTP_RT,F,TOTAL,AC0,BE	100 	100.0 
PTP_RT,F,TOTAL,AC0,BG	: 	100.0 
PTP_RT,F,TOTAL,AC0,DE	100 	100.0 
PTP_RT,F,TOTAL,AC0,EE	100 	100.0 
PTP_RT,F,TOTAL,AC0,EL	100 	: 
PTP_RT,F,TOTAL,AC0,ES	100 	100.0 
PTP_RT,F,TOTAL,AC0,FI	100 	100.0 
PTP_RT,F,TOTAL,AC0,FR	100 	100.0 
PTP_RT,F,TOTAL,AC0,HU	100 	: 
PTP_RT,F,TOTAL,AC0,IT	100 	100.0 
PTP_RT,F,TOTAL,AC0,LT	: 	100.0 
PTP_RT,F,TOTAL,AC0,LU	100 	: 
PTP_RT,F,TOTAL,AC0,LV	: 	100.0 
PTP_RT,F,TOTAL,AC0,NL	99.4 	: 
PTP_RT,F,TOTAL,AC0,NO	100 	100.0 
PTP_RT,F,TOTAL,AC0,PL	100 	100.0 
PTP_RT,F,TOTAL,AC0,RO	100 	: 
PTP_RT,F,TOTAL,AC0,RS	100 	: 
PTP_RT,F,TOTAL,AC0,SI	: 	100.0 
PTP_RT,F,TOTAL,AC0,TR	100 	: 
PTP_RT,F,TOTAL,AC0,UK	99.8 	100.0 
PTP_RT,F,TOTAL,AC01,AT	100 	: 
PTP_RT,F,TOTAL,AC01,BE	100 	100.0 
PTP_RT,F,TOTAL,AC01,BG	: 	100.0 
PTP_RT,F,TOTAL,AC01,DE	100 	100.0 
PTP_RT,F,TOTAL,AC01,EE	100 	99.8 
PTP_RT,F,TOTAL,AC01,EL	100 	: 
PTP_RT,F,TOTAL,AC01,ES	100 	100.0 
PTP_RT,F,TOTAL,AC01,FI	100 	100.0 
PTP_RT,F,TOTAL,AC01,FR	99.7 	100.0 
PTP_RT,F,TOTAL,AC01,HU	100 	: 
PTP_RT,F,TOTAL,AC01,IT	100 	100.0 
PTP_RT,F,TOTAL,AC01,LT	: 	100.0 
PTP_RT,F,TOTAL,AC01,LU	100 	: 
PTP_RT,F,TOTAL,AC01,LV	: 	100.0 
PTP_RT,F,TOTAL,AC01,NL	99.4 	: 
PTP_RT,F,TOTAL,AC01,NO	100 	100.0 
PTP_RT,F,TOTAL,AC01,PL	100 	100.0 
PTP_RT,F,TOTAL,AC01,RO	100 	: 
PTP_RT,F,TOTAL,AC01,RS	100 	: 
PTP_RT,F,TOTAL,AC01,SI	: 	100.0 
PTP_RT,F,TOTAL,AC01,TR	100 	: 
PTP_RT,F,TOTAL,AC01,UK	99.5 	100.0 
PTP_RT,F,TOTAL,AC02,AT	97.4 	: 
PTP_RT,F,TOTAL,AC02,BE	99.9 	99.6 
